#Digilent WaveForms Network Analyzer - Bode
#Device Name: Alan
#Serial Number: SN:210321A3716A
#Date Time: 2024-03-12 16:08:02.695
#Start: 9.892 Hz
#Stop: 1e+07 Hz
#Steps: 100
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16
#Channel: Channel 2
#Range: 5.45542 V
#Offset: 8.94103e-05 V
#Relative: yes

Frequency (Hz),Channel 2 Magnitude (X),Channel 2 Phase (°)
9275.0274989943809,11.105598052531597,-5.6017659387108267
10665.197489789158,11.08862321985835,-6.4610439899239438
12263.730485816615,11.065379201902772,-7.421728618273022
14101.856582847151,11.0311151326708,-8.5441456515835199
16215.486740611253,10.992444654901613,-9.8381311567127447
18645.914365259512,10.936191314109651,-11.27872993490783
21440.622047185374,10.866711966592634,-12.920583407626637
24654.209215223593,10.772718112131441,-14.79791816884287
28349.458830547766,10.656740347710178,-16.948037522146393
32598.563959968909,10.504056317488812,-19.357208375345877
37484.538191858388,10.307895525091245,-22.029925748088324
43102.837449598868,10.061755508536566,-25.063859613649257
49563.224887483433,9.7549795700855277,-28.217280341555465
56991.915303017377,9.3987021592955919,-31.81499277976107
65534.040960408885,8.9786756298412715,-35.581819057350245
75356.486999361805,8.4709157632590291,-39.438453623196132
86651.151823761262,7.9283089472491426,-43.395415200648927
99638.696167565577,7.3321303743079937,-47.423342524184591
114572.85408236284,6.7196119786492119,-51.120369528228011
131745.39006915945,6.0936079365039042,-54.830518073662262
151491.7992005132,5.4911804930456993,-58.093353862691721
174197.86159471032,4.9208480326729678,-61.019758045962661
200307.17929493744,4.3724019679068817,-63.819086642697293
230329.84279935987,3.8761076555096392,-66.05038990736287
264852.39655770326,3.4291194581088811,-67.918901312034677
304549.29812748515,3.02871478391878,-69.615984716336371
350196.09486424341,2.6765469497666903,-70.846024478867548
402684.57557511714,2.3581013213686308,-71.839862500247406
463040.19314942166,2.0855221121691669,-72.601195308090027
532442.09854732291,1.8468907032482236,-73.111612157407308
612246.17754509847,1.6416014998017889,-73.446832433030693
704011.54029947135,1.4638366991179828,-73.737451874952683
809530.98125031032,1.3122202071684486,-73.903238823826996
930866.00444833771,1.1815336094978033,-74.140835603228894
1070387.0985879952,1.0699498099170668,-74.593657848344137
1230820.0485875795,0.97549947725615394,-75.242193772277176
1415299.1884931521,0.89384233866971097,-76.221968069881655
1627428.6360934654,0.82298781680409272,-77.836412525051401
1871352.705569539,0.75991581173074563,-80.204763496619279
2151836.8738113511,0.70168665767501071,-83.487204215880936
2474360.8822180699,0.64617603286003511,-88.139699294692278
2845225.7928858809,0.58823353861094763,-94.27743016453627
3271677.0907105077,0.52126861719415707,-102.38683663293489
3762046.2364159641,0.44261609948001629,-112.1216948336987
4325913.4359919196,0.34989539697668071,-122.62720530015642
4974294.8065208904,0.25286732891496566,-131.36200082661981
5719857.5950022591,0.17369596809782575,-134.56494753982335
6577167.6548434729,0.12496577730766645,-131.37774746154065
7562974.0148980143,0.098530499306256458,-128.05405883110831
8696536.1005966198,0.077721415159784896,-128.64374852629012
10000000,0.056826994934727086,-130.71137355603477
